Transaction Date,Customer ID,Description,Stock Code,Invoice No,Quantity,Sales,Unit Price
12/1/2020 12:23,17968,Sheba Perfect Portions Pat Wet Cat Food,22197,536464,1,5.1,5.1
12/1/2020 12:27,16210,Canned Cat Food,21137,536477,80,1627.2,20.34
12/1/2020 12:27,16210,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536477,3,197.1,65.7
12/1/2020 12:31,17897,Rechargeable Pet Nail Grinder,22960,536488,2,51,25.5
12/1/2020 12:36,16552,Dog and Puppy Pads,85123A,536502,1,17.7,17.7
12/1/2020 12:36,16552,Pet Odor Eliminator,84879,536502,3,30.42,10.14
12/1/2020 12:36,16552,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536502,1,76.5,76.5
12/1/2020 12:38,17897,Rechargeable Pet Nail Grinder,22960,,-1,-25.5,25.5
12/1/2020 12:43,14729,Dog and Puppy Pads,85123A,536520,1,17.7,17.7
12/1/2020 12:43,14729,Sheba Perfect Portions Pat Wet Cat Food,22197,536520,1,5.1,5.1
12/1/2020 12:49,15012,Earth Rated Dog Poop Bags,85099B,536522,1,11.7,11.7
12/1/2020 12:54,14078,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536525,1,76.5,76.5
12/1/2020 12:58,14001,Earth Rated Dog Poop Bags,85099B,536526,2,23.4,11.7
12/1/2020 13:17,15525,Rechargeable Pet Nail Grinder,22960,536528,1,25.5,25.5
12/1/2020 13:17,15525,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536528,1,76.5,76.5
12/1/2020 13:21,17905,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536530,1,76.5,76.5
12/1/2020 13:23,15485,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536531,14,214.2,15.3
12/1/2020 13:24,12433,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536532,2,47.4,23.7
12/1/2020 13:24,12433,Sheba Perfect Portions Pat Wet Cat Food,22197,536532,12,61.2,5.1
12/1/2020 13:45,18144,Pet Odor Eliminator,84879,536536,14,141.96,10.14
12/1/2020 13:51,15922,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536537,1,76.5,76.5
12/1/2020 13:54,14594,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536538,1,17.7,17.7
12/1/2020 14:03,15165,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536539,1,23.7,23.7
12/1/2020 14:03,15165,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536539,1,76.5,76.5
12/1/2020 14:11,16456,Dog and Puppy Pads,85123A,536542,6,106.2,17.7
12/1/2020 14:11,16456,Earth Rated Dog Poop Bags,85099B,536542,7,81.9,11.7
12/1/2020 14:11,16456,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536542,5,58.5,11.7
12/1/2020 14:32,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536544,1,50.82,50.82
12/1/2020 14:32,,Dog and Puppy Pads,85123A,536544,1,35.46,35.46
12/1/2020 14:32,,Earth Rated Dog Poop Bags,85099B,536544,1,25.26,25.26
12/1/2020 14:32,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536544,6,212.76,35.46
12/1/2020 14:32,,Pet Grooming Brush,20725,536544,1,25.26,25.26
12/1/2020 14:32,,ProBiotic Supplements for Dogs,79321,536544,1,61.02,61.02
12/1/2020 14:32,,Rechargeable Pet Nail Grinder,22960,536544,2,101.64,50.82
12/1/2020 14:32,,Sheba Perfect Portions Pat Wet Cat Food,22197,536544,1,9.96,9.96
12/1/2020 14:32,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536544,7,534.24,76.32
12/1/2020 14:41,17841,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536557,1,23.7,23.7
12/1/2020 14:41,17841,NexGard Chew for Dogs,82484,536557,1,38.7,38.7
12/1/2020 14:41,17841,ProBiotic Supplements for Dogs,79321,536557,4,102,25.5
12/1/2020 15:00,13093,ProBiotic Supplements for Dogs,79321,536560,8,204,25.5
12/1/2020 15:00,13093,Rechargeable Pet Nail Grinder,22960,536560,2,45,22.5
12/1/2020 15:08,13468,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536562,1,76.5,76.5
12/1/2020 15:35,16274,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536569,1,17.7,17.7
12/1/2020 16:01,13777,Dog and Puppy Pads,85123A,536575,22,336.6,15.3
12/1/2020 16:01,13777,Earth Rated Dog Poop Bags,85099B,536575,12,118.8,9.9
12/1/2020 16:11,13777,Dog and Puppy Pads,85123A,536576,22,336.6,15.3
12/1/2020 16:11,13777,Earth Rated Dog Poop Bags,85099B,536576,5,49.5,9.9
12/1/2020 16:13,13777,Pet Grooming Brush,20725,536577,10,87,8.7
12/1/2020 16:19,13777,Earth Rated Dog Poop Bags,85099B,536581,34,336.6,9.9
12/1/2020 16:33,14142,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536587,1,23.7,23.7
12/1/2020 16:49,17069,Rechargeable Pet Nail Grinder,22960,536588,1,25.5,25.5
12/1/2020 16:52,13065,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536590,1,23.7,23.7
12/1/2020 16:52,13065,Dog and Puppy Pads,85123A,536590,1,17.7,17.7
12/1/2020 16:57,14606,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536591,1,11.7,11.7
12/1/2020 17:06,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536592,1,50.82,50.82
12/1/2020 17:06,,Dog and Puppy Pads,85123A,536592,2,70.92,35.46
12/1/2020 17:06,,Earth Rated Dog Poop Bags,85099B,536592,1,25.26,25.26
12/1/2020 17:06,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536592,4,141.84,35.46
12/1/2020 17:06,,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536592,1,25.26,25.26
12/1/2020 17:06,,Pet Grooming Brush,20725,536592,1,25.26,25.26
12/1/2020 17:06,,Pet Odor Eliminator,84879,536592,2,38.28,19.14
12/1/2020 17:06,,ProBiotic Supplements for Dogs,79321,536592,1,61.02,61.02
12/1/2020 17:06,,Sheba Perfect Portions Pat Wet Cat Food,22197,536592,6,59.76,9.96
12/1/2020 17:06,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536592,8,610.56,76.32
12/1/2020 17:22,15235,Dog and Puppy Pads,85123A,536594,1,17.7,17.7
12/1/2020 17:24,13576,Canned Cat Food,21137,536595,10,203.4,20.34
12/1/2020 17:29,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536596,1,23.7,23.7
12/1/2020 17:35,18011,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536597,1,17.7,17.7
12/1/2020 17:35,18011,Sheba Perfect Portions Pat Wet Cat Food,22197,536597,1,5.1,5.1
12/2/2020 8:32,17850,Dog and Puppy Pads,85123A,536600,1,15.3,15.3
12/2/2020 8:34,17850,Dog and Puppy Pads,85123A,536602,1,15.3,15.3
12/2/2020 9:29,17732,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536607,1,23.7,23.7
12/2/2020 9:29,17732,Dog and Puppy Pads,85123A,536607,1,17.7,17.7
12/2/2020 9:29,17732,Earth Rated Dog Poop Bags,85099B,536607,2,23.4,11.7
12/2/2020 9:29,17732,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536607,2,23.4,11.7
12/2/2020 9:29,17732,Pet Odor Eliminator,84879,536607,2,20.28,10.14
12/2/2020 9:29,17732,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536607,1,76.5,76.5
12/2/2020 9:41,17850,Dog and Puppy Pads,85123A,536609,1,15.3,15.3
12/2/2020 9:44,17850,Dog and Puppy Pads,85123A,536612,1,15.3,15.3
12/2/2020 10:10,17925,Canned Cat Food,21137,536616,12,244.08,20.34
12/2/2020 10:17,13941,ProBiotic Supplements for Dogs,79321,536617,4,102,25.5
12/2/2020 10:17,17017,Sheba Perfect Portions Pat Wet Cat Food,22197,536618,8,40.8,5.1
12/2/2020 10:18,17017,Rechargeable Pet Nail Grinder,22960,536619,2,45,22.5
12/2/2020 10:53,15658,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536627,1,76.5,76.5
12/2/2020 10:54,17850,Dog and Puppy Pads,85123A,536628,1,15.3,15.3
12/2/2020 10:56,17850,Dog and Puppy Pads,85123A,536630,1,15.3,15.3
12/2/2020 11:02,14388,Earth Rated Dog Poop Bags,85099B,536632,2,23.4,11.7
12/2/2020 11:02,14388,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536632,2,23.4,11.7
12/2/2020 11:20,14901,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536633,2,35.4,17.7
12/2/2020 11:20,14901,Rechargeable Pet Nail Grinder,22960,536633,1,25.5,25.5
12/2/2020 11:22,15955,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536635,2,47.4,23.7
12/2/2020 11:22,15955,Indoor Pet Camera (Wi-Fi),22502,536635,2,71.4,35.7
12/2/2020 11:23,15070,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536636,6,106.2,17.7
12/2/2020 11:35,18041,Rechargeable Pet Nail Grinder,22960,536637,1,25.5,25.5
12/2/2020 11:35,18041,Sheba Perfect Portions Pat Wet Cat Food,22197,536637,1,5.1,5.1
12/2/2020 11:41,16244,Indoor Pet Camera (Wi-Fi),22502,536638,1,35.7,35.7
12/2/2020 11:57,14390,Earth Rated Dog Poop Bags,85099B,536643,1,11.7,11.7
12/2/2020 12:09,15260,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536667,2,35.4,17.7
12/2/2020 12:09,15260,ProBiotic Supplements for Dogs,79321,536667,1,29.7,29.7
12/2/2020 12:09,15260,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536667,1,76.5,76.5
12/2/2020 12:22,17287,Pet Odor Eliminator,84879,536681,2,20.28,10.14
12/2/2020 12:22,17287,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536681,1,76.5,76.5
12/2/2020 12:23,17850,Dog and Puppy Pads,85123A,536685,2,30.6,15.3
12/2/2020 12:25,17850,Dog and Puppy Pads,85123A,536690,1,15.3,15.3
12/2/2020 12:33,12915,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536707,1,76.5,76.5
12/2/2020 12:47,15544,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536732,1,17.7,17.7
12/2/2020 12:47,15544,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536732,1,76.5,76.5
12/2/2020 13:11,13117,Pet Odor Eliminator,84879,536741,2,20.28,10.14
12/2/2020 13:14,16916,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536742,1,17.7,17.7
12/2/2020 13:36,14466,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536744,1,76.5,76.5
12/2/2020 13:49,17976,Dog and Puppy Pads,85123A,536749,1,17.7,17.7
12/2/2020 13:49,17976,Pet Odor Eliminator,84879,536749,1,10.14,10.14
12/2/2020 14:04,17850,Dog and Puppy Pads,85123A,536750,2,30.6,15.3
12/2/2020 14:06,17850,Dog and Puppy Pads,85123A,536752,1,15.3,15.3
12/2/2020 14:09,14449,Canned Cat Food,21137,536754,1,22.5,22.5
12/2/2020 14:09,14449,Sheba Perfect Portions Pat Wet Cat Food,22197,536754,1,5.1,5.1
12/2/2020 14:23,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536756,1,17.7,17.7
12/2/2020 14:23,,Sheba Perfect Portions Pat Wet Cat Food,22197,536756,1,5.1,5.1
12/2/2020 14:26,16781,NexGard Chew for Dogs,82484,536759,1,38.7,38.7
12/2/2020 14:42,17685,Dog and Puppy Pads,85123A,536763,2,35.4,17.7
12/2/2020 14:42,17685,ProBiotic Supplements for Dogs,79321,536763,4,102,25.5
12/2/2020 14:47,17581,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536769,3,53.1,17.7
12/2/2020 14:47,17581,Pet Grooming Brush,20725,536769,2,19.8,9.9
12/2/2020 14:47,17581,ProBiotic Supplements for Dogs,79321,536769,1,29.7,29.7
12/2/2020 14:49,17581,Rechargeable Pet Nail Grinder,22960,536771,1,25.5,25.5
12/2/2020 15:00,15732,Earth Rated Dog Poop Bags,85099B,536777,4,46.8,11.7
12/2/2020 15:09,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536780,1,23.7,23.7
12/2/2020 15:18,17567,Sheba Perfect Portions Pat Wet Cat Food,22197,536782,2,10.2,5.1
12/2/2020 15:22,15061,Pet Odor Eliminator,84879,536785,54,469.8,8.7
12/2/2020 15:22,15061,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536785,24,1576.8,65.7
12/2/2020 15:24,17850,Dog and Puppy Pads,85123A,536787,1,15.3,15.3
12/2/2020 15:26,17850,Dog and Puppy Pads,85123A,536790,2,35.4,17.7
12/2/2020 15:39,16203,Rechargeable Pet Nail Grinder,22960,536793,1,25.5,25.5
12/2/2020 15:40,13767,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536794,2,47.4,23.7
12/2/2020 15:40,15640,Dog and Puppy Pads,85123A,536795,6,91.8,15.3
12/2/2020 15:40,15640,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536795,7,107.1,15.3
12/2/2020 15:46,15574,Pet Odor Eliminator,84879,536796,1,10.14,10.14
12/2/2020 16:00,17228,Earth Rated Dog Poop Bags,85099B,536799,1,11.7,11.7
12/2/2020 16:00,17228,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536799,1,11.7,11.7
12/2/2020 16:12,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536801,1,17.7,17.7
12/2/2020 16:12,14829,Rechargeable Pet Nail Grinder,22960,536800,1,25.5,25.5
12/2/2020 16:34,14031,Pet Odor Eliminator,84879,536804,8,81.12,10.14
12/2/2020 16:34,14031,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536804,3,197.1,65.7
12/2/2020 16:46,17659,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536808,1,76.5,76.5
12/2/2020 16:59,15646,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536813,1,17.7,17.7
12/2/2020 17:17,17757,Indoor Pet Camera (Wi-Fi),22502,536821,1,35.7,35.7
12/2/2020 17:17,17757,Sheba Perfect Portions Pat Wet Cat Food,22197,536821,1,5.1,5.1
12/2/2020 17:24,13798,Dog and Puppy Pads,85123A,536824,27,413.1,15.3
12/2/2020 17:27,15384,Sheba Perfect Portions Pat Wet Cat Food,22197,,0,0,5.1
12/2/2020 17:48,18239,Dog and Puppy Pads,85123A,536833,1,17.7,17.7
12/2/2020 18:08,18168,Sheba Perfect Portions Pat Wet Cat Food,22197,536836,1,5.1,5.1
12/2/2020 18:15,14395,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536837,1,23.7,23.7
12/2/2020 18:15,14395,Dog and Puppy Pads,85123A,536837,1,17.7,17.7
12/2/2020 18:25,15093,Pet Odor Eliminator,84879,536839,16,162.24,10.14
12/2/2020 18:27,16150,Pet Odor Eliminator,84879,536841,2,20.28,10.14
12/2/2020 18:45,17552,Indoor Pet Camera (Wi-Fi),22502,536842,1,35.7,35.7
12/2/2020 18:49,14236,Indoor Pet Camera (Wi-Fi),22502,536844,6,178.2,29.7
12/2/2020 19:18,17961,Pet Grooming Brush,20725,536845,1,9.9,9.9
12/2/2020 19:59,14573,Indoor Pet Camera (Wi-Fi),22502,536846,1,35.7,35.7
12/2/2020 19:59,14573,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536846,1,76.5,76.5
12/3/2020 10:26,13370,Rechargeable Pet Nail Grinder,22960,536856,1,25.5,25.5
12/3/2020 10:26,13370,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536856,1,76.5,76.5
12/3/2020 10:33,16883,Dog and Puppy Pads,85123A,536857,1,17.7,17.7
12/3/2020 10:43,12841,Dog and Puppy Pads,85123A,536859,1,17.7,17.7
12/3/2020 10:43,12841,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536859,1,17.7,17.7
12/3/2020 10:43,12841,ProBiotic Supplements for Dogs,79321,536859,1,29.7,29.7
12/3/2020 11:13,,Earth Rated Dog Poop Bags,85099B,536862,1,25.26,25.26
12/3/2020 11:13,,Indoor Pet Camera (Wi-Fi),22502,536862,1,50.82,50.82
12/3/2020 11:13,,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536862,1,30.36,30.36
12/3/2020 11:13,,Pet Grooming Brush,20725,536862,1,30.36,30.36
12/3/2020 11:13,,Sheba Perfect Portions Pat Wet Cat Food,22197,536862,2,19.92,9.96
12/3/2020 11:13,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536862,1,152.94,152.94
12/3/2020 11:19,17967,Dog and Puppy Pads,85123A,536863,1,17.7,17.7
12/3/2020 11:19,17967,Pet Grooming Brush,20725,536863,1,9.9,9.9
12/3/2020 11:19,17967,Rechargeable Pet Nail Grinder,22960,536863,1,25.5,25.5
12/3/2020 11:27,,Earth Rated Dog Poop Bags,85099B,536864,1,25.26,25.26
12/3/2020 11:27,,Indoor Pet Camera (Wi-Fi),22502,536864,1,50.82,50.82
12/3/2020 11:27,,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536864,1,55.92,55.92
12/3/2020 11:27,,NexGard Chew for Dogs,82484,536864,1,81.42,81.42
12/3/2020 11:27,,Pet Grooming Brush,20725,536864,1,30.36,30.36
12/3/2020 11:28,,Earth Rated Dog Poop Bags,85099B,536865,1,25.26,25.26
12/3/2020 11:28,,Indoor Pet Camera (Wi-Fi),22502,536865,1,50.82,50.82
12/3/2020 11:28,,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536865,1,55.92,55.92
12/3/2020 11:28,,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536865,1,30.36,30.36
12/3/2020 11:28,,Pet Grooming Brush,20725,536865,1,30.36,30.36
12/3/2020 11:28,,Rechargeable Pet Nail Grinder,22960,536865,1,50.82,50.82
12/3/2020 11:28,,Sheba Perfect Portions Pat Wet Cat Food,22197,536865,3,29.88,9.96
12/3/2020 11:35,16891,Earth Rated Dog Poop Bags,85099B,536874,1,11.7,11.7
12/3/2020 11:35,16891,Rechargeable Pet Nail Grinder,22960,536874,1,25.5,25.5
12/3/2020 11:36,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536876,1,50.82,50.82
12/3/2020 11:36,,Dog and Puppy Pads,85123A,536876,1,35.46,35.46
12/3/2020 11:36,,Earth Rated Dog Poop Bags,85099B,536876,1,25.26,25.26
12/3/2020 11:36,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536876,1,17.7,17.7
12/3/2020 11:36,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536876,5,177.3,35.46
12/3/2020 11:36,,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536876,1,50.82,50.82
12/3/2020 11:36,,NexGard Chew for Dogs,82484,536876,1,81.42,81.42
12/3/2020 11:36,,Pet Grooming Brush,20725,536876,1,25.26,25.26
12/3/2020 11:36,,Pet Odor Eliminator,84879,536876,2,20.28,10.14
12/3/2020 11:36,,Pet Odor Eliminator,84879,536876,2,38.28,19.14
12/3/2020 11:36,,Rechargeable Pet Nail Grinder,22960,536876,1,50.82,50.82
12/3/2020 11:36,,Sheba Perfect Portions Pat Wet Cat Food,22197,536876,4,39.84,9.96
12/3/2020 11:36,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536876,7,534.24,76.32
12/3/2020 12:05,14680,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536938,4,46.8,11.7
12/3/2020 12:05,14680,ProBiotic Supplements for Dogs,79321,536938,12,306,25.5
12/3/2020 12:11,17884,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536943,1,17.7,17.7
12/3/2020 12:11,17884,Pet Odor Eliminator,84879,536943,2,20.28,10.14
12/3/2020 12:20,12557,Pet Grooming Brush,20725,536944,12,118.8,9.9
12/3/2020 12:28,13013,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536946,2,35.4,17.7
12/3/2020 12:28,13013,Pet Odor Eliminator,84879,536946,3,30.42,10.14
12/3/2020 12:29,13013,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536947,1,76.5,76.5
12/3/2020 12:43,14210,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536956,1,27.9,27.9
12/3/2020 12:43,14210,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536956,1,76.5,76.5
12/3/2020 12:48,16477,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536960,1,23.7,23.7
12/3/2020 12:48,16477,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536960,1,17.7,17.7
12/3/2020 12:57,12600,Earth Rated Dog Poop Bags,85099B,536967,5,58.5,11.7
12/3/2020 13:09,16013,ProBiotic Supplements for Dogs,79321,536968,8,204,25.5
12/3/2020 13:12,17949,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536970,20,1314,65.7
12/3/2020 13:59,12682,Pet Grooming Brush,20725,536974,2,19.8,9.9
12/3/2020 14:04,14911,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536975,2,47.4,23.7
12/3/2020 14:04,14911,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536975,1,17.7,17.7
12/3/2020 14:04,14911,ProBiotic Supplements for Dogs,79321,536975,1,29.7,29.7
12/3/2020 14:04,14911,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536975,1,76.5,76.5
12/3/2020 14:18,14723,Dog and Puppy Pads,85123A,536976,2,35.4,17.7
12/3/2020 14:26,17819,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536980,3,197.1,65.7
12/3/2020 14:27,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536982,13,726.96,55.92
12/3/2020 14:27,,Dog and Puppy Pads,85123A,536982,6,243.72,40.62
12/3/2020 14:27,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536982,13,528.06,40.62
12/3/2020 14:27,,ProBiotic Supplements for Dogs,79321,536982,6,396.72,66.12
12/3/2020 14:27,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536982,6,917.64,152.94
